patient_id,name,birth_date,gender,cpf,rg,rg_issuer,mobile_phone,home_phone,office_phone,email,email_secondary,birth_place,birth_state,zip_code,address,number,complement,neighborhood,city,state,country,picture_filename,ethnicity,marital_status,religion,occupation,education,responsible,cns,died,death_info,nationality,indication,indication_observation,active,receive_email,observation,healthinsurance_pack,patientrelatedness_mother_names,patientrelatedness_father_names,tag_names,tag_physician_id
12,Srta. Cecília Pinto,1951-01-01,,,,,(61)90602-7587,,,,,Fernandes, CE,82476-643,Estação de Nogueira,,,Liberdade,da Mata das Flores,,BR,,br,st,,,,,,,,,,,,,,,Ana Sophia da Cruz,João Pedro Novaes,,
13,Igor Barros,2023-01-01,,,,,,(41)2808-4872,,,,Rezende da Mata,,,,,,,,,BR,,ye,st,,Policial federal,,,,,,,,,,,,,,Sr. Pedro Nogueira,,
14,Gabriela Aragão,1984-01-01,,,,,(71)91348-7027,,,,,da Paz das Flores, BA,64731-213,Trevo Porto,7,,Vila Pilar,da Rocha,,BR,,ye,ma,,Artista plástico,,,,,,,,,,,,,Isabella Cardoso,,,
15,Vitor Hugo Rodrigues,1929-01-01,,,,,,,,,,Cavalcanti de da Paz, PR,59880-068,Estação Kaique Cardoso,,,Aparecida 7ª Seção,Pinto,,BR,,br,wi,,,,,,,,,,,,,,,Emilly Pereira,,,
16,Otávio Aragão,2031-01-01,,,,,,(51)4908-1292,,,,da Cunha, PE,08880-562,Trecho de Moraes,26,,Diamante,da Mata,,BR,,br,ma,,Lamboteiro,,,,,,,,,,,,,Isis Costa,,,
17,Lucca Rodrigues,1997-01-01,,,,,,,(61)1021-0033,,,Vieira, AM,16356-859,Travessa de Mendes,,,Maria Helena,Vieira,,BR,,br,wi,,,,,,,,,,,,,,,,,,
18,Sr. Pedro Castro,1978-01-01,,,,,,,(81)1018-1206,,,Ferreira dos Dourados,,,,,,,,,BR,,br,ma,,Sargento,,,,,,,,,,,,,Catarina Lima,,,
19,Dra. Bianca Aragão,1922-01-01,,,,,(55)98787-7732,,,,,Caldeira do Galho, PA,79687-411,Parque de Teixeira,8,,Bom Jesus,da Luz,,BR,,wh,ma,,Leiloeiro,,,,,,,,,,,,,Alexia da Mata,Dr. Luiz Gustavo Pereira,,
20,Fernanda Martins,1955-01-01,,,,,(55)91801-4165,,,,,Carvalho do Oeste, RN,08698-376,Largo Rodrigo Pinto,359,,Novo Glória,da Rosa,,BR,,bl,,,Capitão,,,,,,,,,,,,,Srta. Ana Vitória Rocha,,,
21,Pedro Nunes,,,,,,,(81)2693-5336,,,,Aragão do Campo, SP,58466-850,Pátio de Castro,13,,Vila Nova Gameleira 2ª Seção,da Conceição,,BR,,br,ma,,Técnico de gesso,,,,,,,,,,,,,Ana Sophia da Costa,Enzo Monteiro,,
22,Luigi Pinto,2030-01-01,,,,,,,(84)5849-4401,,,Costela do Oeste, MS,40698-032,Aeroporto de Pires,,,Guaratã,Barbosa de Aragão,,BR,,ye,st,,Jardineiro,,,,,,,,,,,,,Amanda Viana,,,
23,Dra. Manuela da Paz,1949-01-01,,,,,,,(31)5046-1004,,,Nascimento, PB,86447-474,Recanto Barbosa,37,,Garças,Cavalcanti,,BR,,ye,st,,Endocrinologista,,,,,,,,,,,,,Marcela Cavalcanti,,,
24,Heloísa Martins,2047-01-01,,,,,(61)96863-7169,,,,,Rocha, PI,05417-120,Loteamento Correia,72,,Milionario,Fogaça do Norte,,BR,,wh,se,,Engenheiro de produção agroindustrial,,,,,,,,,,,,,Julia Ferreira,Sr. Erick da Cruz,,
25,João Nogueira,1947-01-01,,,,,,,(84)4551-9343,,,da Mata, MS,56036-865,Jardim Nathan da Cunha,96,,Vila Nossa Senhora Do Rosário,Nascimento,,BR,,,st,,Montador,,,,,,,,,,,,,Maria Alice Cardoso,João Vitor Rodrigues,,
26,Noah Cardoso,,,,,,(71)95807-3508,,,,,Costa, RR,41158-798,Ladeira de Teixeira,4,,Vila Da Paz,Moura Alegre,,BR,,wh,wi,,Radioterapêutico,,,,,,,,,,,,,Marcela da Costa,Samuel Barbosa,,
27,Diego Campos,2009-01-01,,,,,,,,,,, PE,24232-964,Quadra Moreira,28,,Granja De Freitas,Moura,,BR,,ye,,,Produtor de eventos,,,,,,,,,,,,,Ana Freitas,Guilherme Gonçalves,,
28,Ana Azevedo,1984-01-01,,,,,,,(31)3006-9613,,,, RS,11570-744,Conjunto Luiz Gustavo Fogaça,5,,Ermelinda,Silveira,,BR,,wh,ma,,Engenheiro agrícola,,,,,,,,,,,,,Kamilly Araújo,,,
29,Calebe Nogueira,,,,,,,,(81)3965-2399,,,, RJ,10603-154,Chácara de Porto,12,,São Lucas,Rocha de Sales,,BR,,bl,wi,,Caça-talentos/Olheiro,,,,,,,,,,,,,Eloah Ferreira,Gabriel das Neves,,
30,Augusto Pires,2030-01-01,,,,,,(71)8221-5335,,,,Ramos de Nascimento, MA,47578-820,Lagoa de Gomes,82,,Conjunto Taquaril,Costa de Araújo,,BR,,,st,,,,,,,,,,,,,,,Cecília Porto,Sr. Vitor Gabriel Rocha,,
31,Daniel Dias,1975-01-01,,,,,,,,,,Fogaça, BA,47776-440,Alameda Nunes,49,,Xangri-Lá,Gomes da Serra,,BR,,,se,,Vistoriador de sinistros,,,,,,,,,,,,,Dra. Pietra Ferreira,Levi Rodrigues,,
32,Alícia Gonçalves,1976-01-01,,,,,(61)93519-1752,,,,,Almeida de Ferreira, TO,06832-705,Viaduto Marcos Vinicius Sales,5,,Havaí,Castro de Costa,,BR,,br,ma,,Preparador de máquinas,,,,,,,,,,,,,Valentina Cavalcanti,,,
33,Carolina Pires,2005-01-01,,,,,,(31)5189-7374,,,,Novaes da Praia,,,,,,,,,BR,,,ma,,Tecnólogo em Ciências das plantas medicinais,,,,,,,,,,,,,Mirella Aragão,,,
34,Fernando Costela,1996-01-01,,,,,,,,,,Pereira Verde,,,,,,,,,BR,,wh,ma,,,,,,,,,,,,,,,Dra. Alexia Porto,Sr. Leonardo da Mata,,
35,Bruna da Conceição,,,,,,,,(61)0772-8516,,,Pereira da Praia, RS,98943-275,Distrito de da Paz,43,,Cenaculo,Viana,,BR,,,st,,Jogador de badminton,,,,,,,,,,,,,Ana Carolina da Luz,Sr. Vinicius Rocha,,
36,Ana Laura Pinto,,,,,,(31)99919-8715,,,,,da Cunha das Pedras, RJ,71012-754,Viela Maria Sophia Araújo,131,,Pirineus,Lopes,,BR,,,st,,,,,,,,,,,,,,,Agatha Silva,Gustavo Santos,,
37,Clarice Lopes,2030-01-01,,,,,(41)94987-5615,,,,,, PI,84664-235,Pátio de Farias,94,,Inconfidência,Pereira,,BR,,wh,st,,Cirurgião dentista,,,,,,,,,,,,,Eduarda Pires,,,
38,Mariana Ferreira,2036-01-01,,,,,,,,,,Cavalcanti de Pereira, RS,50307-140,Lago de Fernandes,62,,Cenaculo,Novaes do Norte,,BR,,bl,wi,,Perfusionista,,,,,,,,,,,,,Alice Viana,Dr. André Teixeira,,
39,João Guilherme Rodrigues,,,,,,,,(41)4731-3170,,,Pereira do Amparo,,,,,,,,,BR,,wh,se,,Flanelinha,,,,,,,,,,,,,Camila Rocha,Eduardo Rezende,,
40,Dr. Luiz Otávio Moura,1966-01-01,,,,,(21)97078-9091,,,,,Ferreira Grande, RJ,86816-973,Travessa Gonçalves,78,,São Pedro,Cunha de Pires,,BR,,bl,se,,Projetista mecânico,,,,,,,,,,,,,Júlia da Luz,Samuel Nunes,,
41,Giovanna Souza,,,,,,,,,,,Oliveira, RS,71765-579,Praça Luiz Miguel da Rocha,1,,Corumbiara,Nascimento Alegre,,BR,,bl,se,,Profissional de efeitos especiais,,,,,,,,,,,,,Gabriela Campos,João Lopes,,
42,Erick das Neves,2024-01-01,,,,,,(81)3888-1374,,,,Caldeira, CE,98872-475,Praia Antônio Rocha,21,,Jardim Atlântico,Nogueira do Sul,,BR,,ye,st,,Historiador,,,,,,,,,,,,,Dra. Milena Moreira,João Vitor Araújo,,
43,Bernardo Pereira,1972-01-01,,,,,(84)93390-1270,,,,,Nunes Alegre, AP,87895-582,Parque Emanuelly Lopes,34,,Mala E Cuia,Cunha do Campo,,BR,,bl,wi,,Pianista,,,,,,,,,,,,,Ana Luiza Lopes,João Gabriel Costela,,
44,Sabrina Melo,1961-01-01,,,,,,,(61)3818-4579,,,da Rosa, AM,37403-817,Praia Gomes,930,,Flavio Marques Lisboa,das Neves,,BR,,ye,,,Apicultor,,,,,,,,,,,,,Bianca Martins,Erick Alves,,
45,Maria Alice Peixoto,2010-01-01,,,,,,,,,,da Mata, CE,83762-541,Setor Bianca Castro,12,,Serra Verde,Nunes das Flores,,BR,,bl,ma,,Produtor de multimídia,,,,,,,,,,,,,Isis Rocha,Enrico Mendes,,
46,Laís Dias,,,,,,,,,,,, CE,47111-364,Morro Ana Julia da Mata,930,,Boa Viagem,Jesus Paulista,,BR,,br,se,,Bancário,,,,,,,,,,,,,Valentina Dias,Renan Gomes,,
47,Melissa Moreira,1952-01-01,,,,,(21)92032-7072,,,,,Azevedo, AP,29856-420,Núcleo da Paz,38,,Bonfim,Fogaça,,BR,,,,,Agente de combate à endemias,,,,,,,,,,,,,Maria Vitória Nascimento,João Guilherme Porto,,
48,Daniel Peixoto,1996-01-01,,,,,,(61)3596-2015,,,,Viana, AL,53795-543,Rua das Neves,,,Palmeiras,das Neves do Oeste,,BR,,,wi,,Administrador,,,,,,,,,,,,,Melissa Sales,Otávio Rocha,,
49,Alice da Cruz,1931-01-01,,,,,(55)94925-5995,,,,,Viana do Norte, AL,29672-101,Vereda Helena Gomes,640,,Nova Suíça,Moreira da Mata,,BR,,bl,se,,Jogador de hóquei,,,,,,,,,,,,,Kamilly Freitas,Eduardo Rocha,,
50,Ana Beatriz Lima,,,,,,,(31)8710-0309,,,,Castro da Praia, DF,48034-483,Núcleo de Caldeira,92,,Comiteco,Nunes,,BR,,ye,wi,,Músico,,,,,,,,,,,,,,Thiago Barros,,
51,Milena Fernandes,,,,,,,(31)6445-5075,,,,das Neves de Barbosa, MS,86499-828,Distrito Pedro Cardoso,522,,Aeroporto,Silveira,,BR,,,wi,,,,,,,,,,,,,,,Isabelly Moura,Francisco Castro,,
52,Vitor Hugo Moraes,,,,,,,,(11)1256-8400,,,Araújo das Flores,,,,,,,,,BR,,br,ma,,Quadrinista,,,,,,,,,,,,,Sra. Caroline Castro,Alexandre da Mota,,
53,Danilo Lopes,,,,,,(55)93169-1740,,,,,, GO,58229-271,Distrito Ana Julia Nogueira,23,,Vila Satélite,Novaes,,BR,,wh,wi,,Faturista,,,,,,,,,,,,,,,,
54,Srta. Camila Castro,2023-01-01,,,,,,,,,,Porto da Serra, ES,62752-669,Lago Maitê Sales,4,,Nova Suíça,Lopes do Norte,,BR,,,st,,Bartender,,,,,,,,,,,,,Heloísa das Neves,Vitor Gabriel Martins,,
55,João Gabriel Campos,2024-01-01,,,,,(55)98458-1227,,,,,Costa de Cavalcanti, MS,81088-909,Fazenda de Alves,16,,Ernesto Nascimento,Silveira de Goiás,,BR,,br,st,,Webdesigner,,,,,,,,,,,,,Ana Sophia Ferreira,Diego Santos,,
56,Natália da Cunha,1942-01-01,,,,,(31)97427-6691,,,,,da Paz do Amparo, SC,52141-147,Aeroporto de Ferreira,24,,Vila Coqueiral,Silva do Sul,,BR,,br,ma,,,,,,,,,,,,,,,,Pedro Miguel Aragão,,
57,Maitê Moraes,1977-01-01,,,,,,,,,,Dias de Lopes, RO,70986-288,Avenida de Teixeira,50,,Jardim Felicidade,Aragão,,BR,,wh,st,,Dogueiro,,,,,,,,,,,,,Sarah Ribeiro,Dr. Leandro Lopes,,
58,João Felipe Cardoso,1933-01-01,,,,,,,(81)5626-4498,,,Nogueira de Barros,,,,,,,,,BR,,br,st,,Lubrificador de máquinas,,,,,,,,,,,,,Alice Carvalho,Enzo Gabriel Barros,,
59,Ana Luiza Mendes,,,,,,(41)96884-6677,,,,,da Costa,,,,,,,,,BR,,br,wi,,Radiooperador de vôo,,,,,,,,,,,,,Maysa da Rosa,João Pedro da Mota,,
60,Sabrina Nascimento,1921-01-01,,,,,(31)92310-9418,,,,,, PI,26689-878,Setor Kamilly Carvalho,15,,Morro Dos Macacos,Souza,,BR,,br,ma,,Caminhoneiro,,,,,,,,,,,,,Sra. Lara da Conceição,,,
61,Luigi Barbosa,2048-01-01,,,,,,(81)6378-0617,,,,da Cruz, SE,45449-230,Condomínio Nascimento,95,,Vila Aeroporto,Oliveira do Campo,,BR,,wh,st,,Técnico tributarista,,,,,,,,,,,,,Marina Silveira,Cauã Oliveira,,
62,Maria Julia Lima,1994-01-01,,,,,,(51)6513-7212,,,,Viana, SP,16556-747,Viaduto de Campos,66,,Conjunto Novo Dom Bosco,Dias da Prata,,BR,,br,wi,,Ajudante de produção,,,,,,,,,,,,,Dra. Pietra Moreira,,,
63,Sra. Bianca Fernandes,2008-01-01,,,,,,(51)8240-8341,,,,, BA,05559-700,Ladeira Lopes,,,Boa Viagem,Lima,,BR,,ye,wi,,,,,,,,,,,,,,,Ana Júlia Alves,Dr. Diogo da Mata,,
64,Joana Araújo,2017-01-01,,,,,(71)96906-7643,,,,,Caldeira, MT,38571-418,Estrada de Rezende,71,,Santa Sofia,Farias do Oeste,,BR,,wh,ma,,Geradorista,,,,,,,,,,,,,Maria Clara Sales,Dr. André da Paz,,
65,Isadora Novaes,1952-01-01,,,,,,(31)2679-8486,,,,das Neves, DF,23372-552,Rua Araújo,78,,Bairro Das Indústrias Ii,Fogaça de Melo,,BR,,,,,Supervisor,,,,,,,,,,,,,Bianca Monteiro,Renan Moraes,,
66,Noah Gonçalves,2025-01-01,,,,,,,(61)7046-8514,,,Mendes,,,,,,,,,BR,,,st,,Técnico em taquigrafia,,,,,,,,,,,,,,Yago Melo,,
67,Luiz Miguel Duarte,2009-01-01,,,,,(51)98499-2368,,,,,, SP,64502-808,Alameda Giovanna Novaes,1,,Vila Independencia 3ª Seção,Nunes de Porto,,BR,,ye,st,,General,,,,,,,,,,,,,,Luiz Felipe Monteiro,,
68,Diego Gonçalves,2003-01-01,,,,,,,(41)7839-1686,,,Mendes, GO,14282-880,Fazenda Alana Barros,707,,Barroca,Moraes,,BR,,br,,,Coveiro/Sepultador,,,,,,,,,,,,,,João Miguel Vieira,,
69,Ana Julia Ramos,1978-01-01,,,,,(84)92299-1231,,,,,Duarte,,,,,,,,,BR,,ye,ma,,Gerente de inovações ou novos negócios,,,,,,,,,,,,,Daniela Sales,Davi Lucas Costela,,
70,Leonardo Castro,,,,,,,(71)1831-0741,,,,Santos Paulista, TO,58787-674,Setor Isaac Santos,57,,São Jorge 3ª Seção,Caldeira,,BR,,,,,,,,,,,,,,,,,,Maria Sophia Novaes,Enzo Gabriel Moraes,,
71,Laura Rezende,1971-01-01,,,,,,(81)6440-6610,,,,Ramos da Praia, RR,22356-225,Campo Jesus,68,,Custodinha,Rocha do Galho,,BR,,ye,wi,,Corretor de seguros,,,,,,,,,,,,,Kamilly Souza,Murilo Barbosa,,
72,Pietro Teixeira,1975-01-01,,,,,(55)92515-8405,,,,,, MT,96341-728,Chácara Barros,40,,Milionario,das Neves,,BR,,,,,Delegado,,,,,,,,,,,,,Maysa Nogueira,Luiz Henrique da Cunha,,
73,Dr. Vitor Costa,2005-01-01,,,,,,,,,,,,,,,,,,,BR,,wh,ma,,Contador,,,,,,,,,,,,,Maria Fernanda Cavalcanti,Matheus Moreira,,
74,Samuel da Mata,2032-01-01,,,,,(31)97109-6687,,,,,da Mata, PR,55849-276,Setor Ian Viana,909,,Barão Homem De Melo 1ª Seção,Novaes da Prata,,BR,,bl,,,Laboratorista,,,,,,,,,,,,,Bruna Barbosa,Samuel Farias,,
75,Lorena Cardoso,1958-01-01,,,,,,(11)5256-8735,,,,Carvalho Verde,,,,,,,,,BR,,br,se,,Engenheiro de transportes,,,,,,,,,,,,,Maria Cecília da Mota,Emanuel Dias,,
76,Joana Gomes,2019-01-01,,,,,,(41)9322-9898,,,,Rocha, RO,07087-353,Favela Esther Cardoso,1,,Vila Batik,da Mata do Oeste,,BR,,ye,,,Atleta de arremesso de peso,,,,,,,,,,,,,Camila da Costa,Noah Duarte,,
77,Rodrigo Lopes,1954-01-01,,,,,(71)90021-5113,,,,,Caldeira dos Dourados, RS,64193-028,Estrada de da Costa,1,,Prado,Campos,,BR,,,ma,,Biomédico,,,,,,,,,,,,,Srta. Amanda da Cruz,Lucas Fernandes,,
78,Davi Lucas Ribeiro,2019-01-01,,,,,,(51)5827-0061,,,,Pinto Verde, AP,05465-194,Estrada Paulo Mendes,638,,Nossa Senhora Aparecida,Moreira,,BR,,bl,st,,Toxicologista,,,,,,,,,,,,,Dra. Ana Ramos,Fernando Gonçalves,,
79,Calebe Vieira,2018-01-01,,,,,,,(81)2451-8046,,,,,,,,,,,,BR,,ye,se,,Pára-quedista,,,,,,,,,,,,,Luiza Gomes,,,
80,Ana Júlia Barbosa,1980-01-01,,,,,(41)96199-1140,,,,,Duarte, TO,83349-541,Trevo Martins,,,Barão Homem De Melo 2ª Seção,Martins de Minas,,BR,,,ma,,Radioterapêutico,,,,,,,,,,,,,,Enzo da Mota,,
81,Marcos Vinicius Farias,1935-01-01,,,,,(55)98670-4987,,,,,Ramos, RS,04348-615,Vereda Pereira,88,,Madri,Pereira,,BR,,br,ma,,,,,,,,,,,,,,,,Sr. Leandro da Rosa,,
82,Isaac Ribeiro,2011-01-01,,,,,,,(41)7390-0496,,,da Conceição das Pedras,,,,,,,,,BR,,,ma,,,,,,,,,,,,,,,,Marcelo Souza,,
83,Guilherme Duarte,,,,,,,,,,,Teixeira do Oeste, AM,17821-213,Pátio Oliveira,24,,Belmonte,Cavalcanti,,BR,,br,wi,,Adestrador de animais,,,,,,,,,,,,,Ana Laura Fogaça,Luiz Otávio Cardoso,,
84,Sr. Noah Martins,1992-01-01,,,,,(11)96898-3991,,,,,da Paz, SE,63830-085,Campo das Neves,59,,Vila Batik,Almeida,,BR,,br,wi,,Fotógrafo,,,,,,,,,,,,,,Pedro Lucas da Luz,,
85,Fernanda Almeida,1987-01-01,,,,,,(81)6184-3039,,,,, SE,90304-068,Vale Pinto,,,Conjunto Bonsucesso,Sales da Mata,,BR,,,st,,Consultor de moda,,,,,,,,,,,,,,Sr. Samuel Fernandes,,
86,Sarah Pires,1941-01-01,,,,,,,(71)6661-8171,,,Souza Paulista, RO,62315-029,Morro de Novaes,3,,Vila Boa Vista,Lopes,,BR,,,,,Somelier,,,,,,,,,,,,,Ana Laura Gonçalves,Kevin Martins,,
87,Mirella Cunha,1983-01-01,,,,,,,(41)7020-8366,,,Ferreira do Campo, SE,65403-967,Morro da Cunha,,,Vila Aeroporto Jaraguá,Barros,,BR,,br,se,,Ourives,,,,,,,,,,,,,,Murilo Martins,,
88,Nicole Rocha,1935-01-01,,,,,,(81)9129-8189,,,,Ramos,,,,,,,,,BR,,bl,,,Carteiro,,,,,,,,,,,,,Dra. Maria Luiza Sales,Leonardo Costa,,
89,Isaac Lopes,1950-01-01,,,,,,(31)6873-3295,,,,,,,,,,,,,BR,,bl,st,,Auxiliar de reprografia,,,,,,,,,,,,,Gabrielly da Costa,Heitor Dias,,
90,Dr. Calebe Gomes,1983-01-01,,,,,,(51)0038-6302,,,,Pires, TO,86025-442,Feira de Cardoso,578,,Vila Suzana Primeira Seção,Moura do Amparo,,BR,,br,wi,,,,,,,,,,,,,,,,Thales Souza,,
91,Yago Teixeira,1981-01-01,,,,,,,(51)3127-1778,,,, AP,47932-776,Jardim de Cardoso,34,,Santa Isabel,Mendes das Flores,,BR,,ye,wi,,Engenheiro de ergonomia,,,,,,,,,,,,,Alice Porto,Otávio da Mata,,
92,Emanuella Santos,1954-01-01,,,,,,,(84)4164-3939,,,das Neves de Correia, MT,05162-016,Estrada Raquel Costela,94,,São Vicente,Nunes,,BR,,ye,,,Armeiro,,,,,,,,,,,,,,Alexandre Souza,,
93,Sra. Lavínia Souza,1935-01-01,,,,,(55)97676-5650,,,,,da Conceição Verde, TO,34214-898,Residencial Lopes,693,,Alto Vera Cruz,Peixoto Paulista,,BR,,br,st,,,,,,,,,,,,,,,,Nicolas Almeida,,
94,Emanuel da Conceição,2019-01-01,,,,,,,,,,da Mota, RR,18852-753,Esplanada Lucas Gabriel Fogaça,85,,São Luiz,Aragão,,BR,,wh,wi,,Sacoleira,,,,,,,,,,,,,,Breno Duarte,,
95,Eloah Farias,,,,,,(55)99446-6184,,,,,Ribeiro, PA,03839-301,Avenida Joaquim Barros,463,,Serra Verde,Lima de Ramos,,BR,,br,,,,,,,,,,,,,,,,,Erick Carvalho,,
96,Paulo Peixoto,,,,,,(51)96389-1630,,,,,, SC,69132-337,Recanto Catarina Campos,,,Vila Nova Gameleira 2ª Seção,Peixoto das Pedras,,BR,,bl,st,,Separador,,,,,,,,,,,,,Kamilly Duarte,Sr. Pietro Cavalcanti,,
97,Clarice Freitas,1986-01-01,,,,,(55)97162-6601,,,,,, PR,67192-382,Fazenda Enzo Aragão,65,,Santa Isabel,Caldeira das Pedras,,BR,,ye,st,,,,,,,,,,,,,,,Nina Sales,Igor Jesus,,
98,Guilherme Cardoso,1973-01-01,,,,,(31)91970-5538,,,,,Silveira,,,,,,,,,BR,,,se,,Petroleiro,,,,,,,,,,,,,Laura da Conceição,Antônio Pinto,,
99,João Vitor Cavalcanti,2014-01-01,,,,,,(84)6670-3181,,,,,,,,,,,,,BR,,bl,wi,,Ferreiro,,,,,,,,,,,,,Amanda da Conceição,Luiz Felipe Farias,,
100,Bárbara Gomes,1953-01-01,,,,,(55)99394-6374,,,,,Monteiro de Minas, AP,04280-822,Rodovia Araújo,62,,Floramar,Fernandes de Rocha,,BR,,ye,ma,,Instalador de painéis,,,,,,,,,,,,,Maria Moura,Benício Jesus,,
101,Ana Lívia Azevedo,,,,,,(55)97332-1727,,,,,Moraes de Minas, PR,87548-248,Fazenda Cardoso,2,,Vista Do Sol,Jesus,,BR,,wh,wi,,Naturólogo,,,,,,,,,,,,,,,,
102,Vitor Hugo Barbosa,1938-01-01,,,,,,(61)0563-1555,,,,Cardoso da Mata, RJ,91311-139,Largo de Barbosa,,,Satelite,Aragão do Sul,,BR,,ye,ma,,Figurinista,,,,,,,,,,,,,Srta. Helena Alves,,,
103,Raquel Ribeiro,1944-01-01,,,,,,(61)2065-5337,,,,, PB,20422-194,Quadra de da Conceição,6,,Grajaú,Lopes,,BR,,bl,,,Enfermeiro,,,,,,,,,,,,,Emilly Fogaça,,,
104,Lucas Gabriel Cunha,,,,,,,,(51)0113-9437,,,Nunes da Serra,,,,,,,,,BR,,br,wi,,Despachante,,,,,,,,,,,,,Emanuelly da Rosa,Gabriel Rocha,,
105,Ana Lívia Pereira,,,,,,,,,,,Vieira, CE,24453-420,Setor de Barbosa,59,,Vila Nova Cachoeirinha 2ª Seção,Duarte Grande,,BR,,br,st,,Patologista oral,,,,,,,,,,,,,Sra. Luana Peixoto,,,
106,Nicole da Cruz,1945-01-01,,,,,,,,,,Gomes de da Mota,,,,,,,,,BR,,br,ma,,,,,,,,,,,,,,,Rebeca da Cunha,,,
107,Davi Lucca Ribeiro,1964-01-01,,,,,(84)92250-6163,,,,,Sales, PB,39873-097,Alameda Paulo Teixeira,38,,Novo Tupi,da Cruz dos Dourados,,BR,,,wi,,Agrimensor,,,,,,,,,,,,,,Augusto Aragão,,
108,Dr. Matheus Teixeira,1916-01-01,,,,,,(21)1167-1811,,,,da Cunha de Minas, RN,06062-122,Estação da Cunha,68,,Nossa Senhora Do Rosário,Nascimento Verde,,BR,,br,,,Filósofo,,,,,,,,,,,,,Luana das Neves,Luiz Henrique Sales,,
109,Sofia Fogaça,2035-01-01,,,,,(51)95620-6769,,,,,Viana, AL,83066-205,Setor Maria Correia,,,Cônego Pinheiro 2ª Seção,Rocha,,BR,,,se,,Intérprete de Bíblias,,,,,,,,,,,,,Rafaela Santos,,,
110,Felipe Oliveira,2030-01-01,,,,,(21)97526-6713,,,,,Castro da Praia, BA,32779-627,Alameda Lorena Fernandes,39,,Alta Tensão 2ª Seção,Moraes,,BR,,,,,Guitarrista,,,,,,,,,,,,,Maysa Gomes,João Ribeiro,,
111,Milena Caldeira,2020-01-01,,,,,(55)92142-2212,,,,,Caldeira,,,,,,,,,BR,,wh,ma,,Prático,,,,,,,,,,,,,Sra. Emilly Pereira,Lucas Gabriel Oliveira,,
112,Juliana Oliveira,1928-01-01,,,,,,,,,,Mendes, RN,43868-303,Passarela de Sales,8,,Xangri-Lá,Moraes do Sul,,BR,,br,se,,Engenheiro mecatrônico,,,,,,,,,,,,,,João Vitor Moraes,,
